/opt/conda/lib/python3.7/site-packages/lightgbm/engine.py:151: UserWarning: Found `n_estimators` in params. Will use it instead of argument
  warnings.warn("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Info] Number of positive: 28151, number of negative: 102006
[LightGBM] [Warning] Auto-choosing col-wise multi-threading, the overhead of testing was 0.211689 seconds.
You can set `force_col_wise=true` to remove the overhead.
[LightGBM] [Info] Total Bins 25953
[LightGBM] [Info] Number of data points in the train set: 130157, number of used features: 176
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1286: UserWarning: Overriding the parameters from Reference Dataset.
  warnings.warn('Overriding the parameters from Reference Dataset.')
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1098: UserWarning: categorical_column in param dict is overridden.
  warnings.warn('{} in param dict is overridden.'.format(cat_alias))
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216285 -> initscore=-1.287449
[LightGBM] [Info] Start training from score -1.287449
[1]	val's auc: 0.819314
[867]	val's auc: 0.984607
[868]	val's auc: 0.984626
[869]	val's auc: 0.984655
[870]	val's auc: 0.984696
[871]	val's auc: 0.984726
[872]	val's auc: 0.984789
[873]	val's auc: 0.984826
[874]	val's auc: 0.984866
[875]	val's auc: 0.984895
[876]	val's auc: 0.98493
[877]	val's auc: 0.984947
[878]	val's auc: 0.984978
[879]	val's auc: 0.984998
[880]	val's auc: 0.985012
[881]	val's auc: 0.985063
[882]	val's auc: 0.985098
[883]	val's auc: 0.98513
[884]	val's auc: 0.985171
[885]	val's auc: 0.985184
[886]	val's auc: 0.985222
[887]	val's auc: 0.985258
[888]	val's auc: 0.985286
[889]	val's auc: 0.985305
[890]	val's auc: 0.985341
[891]	val's auc: 0.985375
[892]	val's auc: 0.985396
[893]	val's auc: 0.985419
[894]	val's auc: 0.985451
[895]	val's auc: 0.985474
[896]	val's auc: 0.985535
[897]	val's auc: 0.985554
[898]	val's auc: 0.985584
[899]	val's auc: 0.985616
[900]	val's auc: 0.985633
[901]	val's auc: 0.985668
[902]	val's auc: 0.985699
[903]	val's auc: 0.985728
[904]	val's auc: 0.985762
[905]	val's auc: 0.985802
[906]	val's auc: 0.985824
[907]	val's auc: 0.985844
[908]	val's auc: 0.985888
[909]	val's auc: 0.985922
[910]	val's auc: 0.985953
[911]	val's auc: 0.98601
[912]	val's auc: 0.986033
[913]	val's auc: 0.986048
[914]	val's auc: 0.986069
[915]	val's auc: 0.986092
[916]	val's auc: 0.986125
[917]	val's auc: 0.986161
[918]	val's auc: 0.986176
[919]	val's auc: 0.986207
[920]	val's auc: 0.98625
[921]	val's auc: 0.986275
[922]	val's auc: 0.986292
[923]	val's auc: 0.986324
[924]	val's auc: 0.986355
[925]	val's auc: 0.986377
[926]	val's auc: 0.986388
[927]	val's auc: 0.986406
[928]	val's auc: 0.986435
[929]	val's auc: 0.98648
[930]	val's auc: 0.986503
[931]	val's auc: 0.986512
[932]	val's auc: 0.986536
[933]	val's auc: 0.986582
[934]	val's auc: 0.986602
[935]	val's auc: 0.986639
[936]	val's auc: 0.986653
[937]	val's auc: 0.986681
[938]	val's auc: 0.986693
[939]	val's auc: 0.98671
[940]	val's auc: 0.986757
[941]	val's auc: 0.986788
[942]	val's auc: 0.986811
[943]	val's auc: 0.986836
[944]	val's auc: 0.986865
[945]	val's auc: 0.986883
[946]	val's auc: 0.986897
[947]	val's auc: 0.986933
[948]	val's auc: 0.986973
[949]	val's auc: 0.987004
[950]	val's auc: 0.98705
[951]	val's auc: 0.987063
[952]	val's auc: 0.987075
[953]	val's auc: 0.987101
[954]	val's auc: 0.987118
[955]	val's auc: 0.987131
[956]	val's auc: 0.987152
[957]	val's auc: 0.987169
[958]	val's auc: 0.987202
[959]	val's auc: 0.987234
[960]	val's auc: 0.987265
[961]	val's auc: 0.987299
[962]	val's auc: 0.987338
[963]	val's auc: 0.987374
[964]	val's auc: 0.987396
[965]	val's auc: 0.987422
[966]	val's auc: 0.98746
[967]	val's auc: 0.987483
[968]	val's auc: 0.987511
[969]	val's auc: 0.987538
[970]	val's auc: 0.987558
[971]	val's auc: 0.987581
[972]	val's auc: 0.987612
[973]	val's auc: 0.987633
[974]	val's auc: 0.987643
[975]	val's auc: 0.987671
[976]	val's auc: 0.987699
[977]	val's auc: 0.987721
[978]	val's auc: 0.987747
[979]	val's auc: 0.987763
[980]	val's auc: 0.987788
[981]	val's auc: 0.987801
[982]	val's auc: 0.987812
[983]	val's auc: 0.98783
[984]	val's auc: 0.987841
[985]	val's auc: 0.987863
[986]	val's auc: 0.987878
[987]	val's auc: 0.987892
[988]	val's auc: 0.987934
[989]	val's auc: 0.987972
[990]	val's auc: 0.987995
[991]	val's auc: 0.98802
[992]	val's auc: 0.988033
[993]	val's auc: 0.98807
[994]	val's auc: 0.988099
[995]	val's auc: 0.988112
[996]	val's auc: 0.988131
[997]	val's auc: 0.988157
[998]	val's auc: 0.988166
[999]	val's auc: 0.988194
[1000]	val's auc: 0.988216
[1001]	val's auc: 0.988232
[1002]	val's auc: 0.988269
[1003]	val's auc: 0.988299
[1004]	val's auc: 0.988315
[1005]	val's auc: 0.988342
[1006]	val's auc: 0.988365
[1007]	val's auc: 0.988372
[1008]	val's auc: 0.988398
[1009]	val's auc: 0.98842
[1010]	val's auc: 0.98845
[1011]	val's auc: 0.988471
[1012]	val's auc: 0.988486
[1013]	val's auc: 0.988507
[1014]	val's auc: 0.98852
[1015]	val's auc: 0.988545
[1016]	val's auc: 0.988556
[1017]	val's auc: 0.988577
[1018]	val's auc: 0.988603
[1019]	val's auc: 0.98862
[1020]	val's auc: 0.988646
[1021]	val's auc: 0.98866
[1022]	val's auc: 0.98869
[1023]	val's auc: 0.988716
[1024]	val's auc: 0.988731
[1025]	val's auc: 0.98876
[1026]	val's auc: 0.988783
[1027]	val's auc: 0.988806
[1028]	val's auc: 0.988815
[1029]	val's auc: 0.988824
[1030]	val's auc: 0.988839
[1031]	val's auc: 0.988872
[1032]	val's auc: 0.988898
[1033]	val's auc: 0.988935
[1034]	val's auc: 0.988971
[1035]	val's auc: 0.98899
[1036]	val's auc: 0.989017
[1037]	val's auc: 0.989033
[1038]	val's auc: 0.989047
[1039]	val's auc: 0.989079
[1040]	val's auc: 0.989114
[1041]	val's auc: 0.989144
[1042]	val's auc: 0.989166
[1043]	val's auc: 0.989181
[1044]	val's auc: 0.989202
[1045]	val's auc: 0.989222
[1046]	val's auc: 0.989247
[1047]	val's auc: 0.989262
[1048]	val's auc: 0.989281
[1049]	val's auc: 0.989306
[1050]	val's auc: 0.989335
[1051]	val's auc: 0.989356
[1052]	val's auc: 0.989372
[1053]	val's auc: 0.989392
[1054]	val's auc: 0.989415
[1055]	val's auc: 0.989442
[1056]	val's auc: 0.989459
[1057]	val's auc: 0.989474
[1058]	val's auc: 0.98949
[1059]	val's auc: 0.98952
[1060]	val's auc: 0.989527
[1061]	val's auc: 0.98955
[1062]	val's auc: 0.98958
[1063]	val's auc: 0.989596
[1064]	val's auc: 0.98964
[1065]	val's auc: 0.989667
[1066]	val's auc: 0.989686
[1067]	val's auc: 0.989703
[1068]	val's auc: 0.98973
[1069]	val's auc: 0.989753
[1070]	val's auc: 0.989782
[1071]	val's auc: 0.989814
[1072]	val's auc: 0.989838
[1073]	val's auc: 0.989868
[1074]	val's auc: 0.989883
[1075]	val's auc: 0.989892
[1076]	val's auc: 0.989906
[1077]	val's auc: 0.989926
[1078]	val's auc: 0.989952
[1079]	val's auc: 0.989965
[1080]	val's auc: 0.989981
[1081]	val's auc: 0.989995
[1082]	val's auc: 0.990013
[1083]	val's auc: 0.990039
[1084]	val's auc: 0.990062
[1085]	val's auc: 0.990085
[1086]	val's auc: 0.990101
[1087]	val's auc: 0.990133
[1088]	val's auc: 0.990158
[1089]	val's auc: 0.990177
[1090]	val's auc: 0.990194
[1091]	val's auc: 0.990218
[1092]	val's auc: 0.990243
[1093]	val's auc: 0.99028
[1094]	val's auc: 0.990303
[1095]	val's auc: 0.990314
[1096]	val's auc: 0.990334
[1097]	val's auc: 0.990345
[1098]	val's auc: 0.990354
[1099]	val's auc: 0.990375
[1100]	val's auc: 0.990401
[1101]	val's auc: 0.990409
[1102]	val's auc: 0.990439
[1103]	val's auc: 0.990457
[1104]	val's auc: 0.990481
[1105]	val's auc: 0.99049
[1106]	val's auc: 0.990513
[1107]	val's auc: 0.990529
[1108]	val's auc: 0.990549
[1109]	val's auc: 0.990573
[1110]	val's auc: 0.990586
[1111]	val's auc: 0.990615
[1112]	val's auc: 0.990621
[1113]	val's auc: 0.990635
[1114]	val's auc: 0.990654
[1115]	val's auc: 0.990695
[1116]	val's auc: 0.99071
[1117]	val's auc: 0.990728
[1118]	val's auc: 0.990751
[1119]	val's auc: 0.990764
[1120]	val's auc: 0.990786
[1121]	val's auc: 0.99081
[1122]	val's auc: 0.990827
[1123]	val's auc: 0.990832
[1124]	val's auc: 0.990856
[1125]	val's auc: 0.990865
[1126]	val's auc: 0.990879
[1127]	val's auc: 0.990903
[1128]	val's auc: 0.990921
[1129]	val's auc: 0.990944
[1130]	val's auc: 0.990975
[1131]	val's auc: 0.990997
[1132]	val's auc: 0.991009
[1133]	val's auc: 0.99103
[1134]	val's auc: 0.991068
[1135]	val's auc: 0.991089
[1136]	val's auc: 0.99111
[1137]	val's auc: 0.991138
[1138]	val's auc: 0.991154
[1139]	val's auc: 0.991169
[1140]	val's auc: 0.991185
[1141]	val's auc: 0.991208
[1142]	val's auc: 0.99122
[1143]	val's auc: 0.991235
[1144]	val's auc: 0.991243
[1145]	val's auc: 0.991259
[1146]	val's auc: 0.991275
[1147]	val's auc: 0.991294
[1148]	val's auc: 0.991316
[1149]	val's auc: 0.991323
[1150]	val's auc: 0.991342
[1151]	val's auc: 0.991349
[1152]	val's auc: 0.991366
[1153]	val's auc: 0.99139
[1154]	val's auc: 0.991408
[1155]	val's auc: 0.99143
[1156]	val's auc: 0.991455
[1157]	val's auc: 0.99149
[1158]	val's auc: 0.991518
[1159]	val's auc: 0.991529
[1160]	val's auc: 0.99155
[1161]	val's auc: 0.991571
[1162]	val's auc: 0.991589
[1163]	val's auc: 0.991605
[1164]	val's auc: 0.991626
[1165]	val's auc: 0.991652
[1166]	val's auc: 0.991675
[1167]	val's auc: 0.991696
[1168]	val's auc: 0.991715
[1169]	val's auc: 0.991735
[1170]	val's auc: 0.991765
[1171]	val's auc: 0.991778
[1172]	val's auc: 0.991795
[1173]	val's auc: 0.99181
[1174]	val's auc: 0.991835
[1175]	val's auc: 0.991856
[1176]	val's auc: 0.991881
[1177]	val's auc: 0.991887
[1178]	val's auc: 0.991918
[1179]	val's auc: 0.991934
[1180]	val's auc: 0.99194
[1181]	val's auc: 0.991963
[1182]	val's auc: 0.99199
[1183]	val's auc: 0.992011
[1184]	val's auc: 0.992025
[1185]	val's auc: 0.992051
[1186]	val's auc: 0.992066
[1187]	val's auc: 0.992088
[1188]	val's auc: 0.992101
[1189]	val's auc: 0.99212
[1190]	val's auc: 0.992133
[1191]	val's auc: 0.992144
[1192]	val's auc: 0.992165
[1193]	val's auc: 0.992179
[1194]	val's auc: 0.992203
[1195]	val's auc: 0.992228
[1196]	val's auc: 0.992247
[1197]	val's auc: 0.992255
[1198]	val's auc: 0.992275
[1199]	val's auc: 0.992292
[1200]	val's auc: 0.992302
[1201]	val's auc: 0.992325
[1202]	val's auc: 0.992341
[1203]	val's auc: 0.992351
[1204]	val's auc: 0.992365
[1205]	val's auc: 0.992391
[1206]	val's auc: 0.99241
[1207]	val's auc: 0.992423
[1208]	val's auc: 0.992445
[1209]	val's auc: 0.992456
[1210]	val's auc: 0.992468
[1211]	val's auc: 0.992486
[1212]	val's auc: 0.992492
[1213]	val's auc: 0.992499
[1214]	val's auc: 0.992514
[1215]	val's auc: 0.992519
[1216]	val's auc: 0.992546
[1217]	val's auc: 0.992555
[1218]	val's auc: 0.992571
[1219]	val's auc: 0.992593
[1220]	val's auc: 0.992616
[1221]	val's auc: 0.992633
[1222]	val's auc: 0.992647
[1223]	val's auc: 0.992664
[1224]	val's auc: 0.99268
[1225]	val's auc: 0.9927
[1226]	val's auc: 0.992713
[1227]	val's auc: 0.992731
[1228]	val's auc: 0.992744
[1229]	val's auc: 0.992759
[1230]	val's auc: 0.992775
[1231]	val's auc: 0.99279
[1232]	val's auc: 0.992804
[1233]	val's auc: 0.992824
[1234]	val's auc: 0.992837
[1235]	val's auc: 0.992847
[1236]	val's auc: 0.992859
[1237]	val's auc: 0.992877
[1238]	val's auc: 0.992898
[1239]	val's auc: 0.992922
[1240]	val's auc: 0.992936
[1241]	val's auc: 0.992946
[1242]	val's auc: 0.992955
[1243]	val's auc: 0.992981
[1244]	val's auc: 0.992989
[1245]	val's auc: 0.993009
[1246]	val's auc: 0.993021
[1247]	val's auc: 0.993045
[1248]	val's auc: 0.993057
[1249]	val's auc: 0.993066
[1250]	val's auc: 0.993069
[1251]	val's auc: 0.993079
[1252]	val's auc: 0.993104
[1253]	val's auc: 0.993121
[1254]	val's auc: 0.993141
[1255]	val's auc: 0.993158
[1256]	val's auc: 0.993179
[1257]	val's auc: 0.993189
[1258]	val's auc: 0.993212
[1259]	val's auc: 0.99322
[1260]	val's auc: 0.993234
[1261]	val's auc: 0.993248
[1262]	val's auc: 0.993262
[1263]	val's auc: 0.993277
[1264]	val's auc: 0.993289
[1265]	val's auc: 0.993293
[1266]	val's auc: 0.993304
[1267]	val's auc: 0.993325
[1268]	val's auc: 0.993344
[1269]	val's auc: 0.99336
[1270]	val's auc: 0.99337
[1271]	val's auc: 0.993385
[1272]	val's auc: 0.993393
[1273]	val's auc: 0.993409
[1274]	val's auc: 0.993415
[1275]	val's auc: 0.993433
[1276]	val's auc: 0.99344
[1277]	val's auc: 0.993464
[1278]	val's auc: 0.993478
[1279]	val's auc: 0.993488
[1280]	val's auc: 0.993503
[1281]	val's auc: 0.993516
[1282]	val's auc: 0.99353
[1283]	val's auc: 0.993548
[1284]	val's auc: 0.993553
[1285]	val's auc: 0.993572
[1286]	val's auc: 0.993606
[1287]	val's auc: 0.993625
[1288]	val's auc: 0.993632
[1289]	val's auc: 0.993655
[1290]	val's auc: 0.993671
[1291]	val's auc: 0.993685
[1292]	val's auc: 0.993697
[1293]	val's auc: 0.993702
[1294]	val's auc: 0.993721
[1295]	val's auc: 0.993725
[1296]	val's auc: 0.993734
[1297]	val's auc: 0.993742
[1298]	val's auc: 0.993751
[1299]	val's auc: 0.993758
[1300]	val's auc: 0.993771
[1301]	val's auc: 0.993789
[1302]	val's auc: 0.993802
[1303]	val's auc: 0.993811
[1304]	val's auc: 0.993815
[1305]	val's auc: 0.993832
[1306]	val's auc: 0.993849
[1307]	val's auc: 0.99386
[1308]	val's auc: 0.993886
[1309]	val's auc: 0.993905
[1310]	val's auc: 0.993925
[1311]	val's auc: 0.993938
[1312]	val's auc: 0.993961
[1313]	val's auc: 0.993971
[1314]	val's auc: 0.993983
[1315]	val's auc: 0.993997
[1316]	val's auc: 0.994005
[1317]	val's auc: 0.994022
[1318]	val's auc: 0.994032
[1319]	val's auc: 0.99404
[1320]	val's auc: 0.994059
[1321]	val's auc: 0.994078
[1322]	val's auc: 0.994089
[1323]	val's auc: 0.994112
[1324]	val's auc: 0.994126
[1325]	val's auc: 0.994138
[1326]	val's auc: 0.994155
[1327]	val's auc: 0.99416
[1328]	val's auc: 0.994167
[1329]	val's auc: 0.994186
[1330]	val's auc: 0.994199
[1331]	val's auc: 0.994204
[1332]	val's auc: 0.99422
[1333]	val's auc: 0.994237
[1334]	val's auc: 0.994253
[1335]	val's auc: 0.994269
[1336]	val's auc: 0.994284
[1337]	val's auc: 0.994294
[1338]	val's auc: 0.994302
[1339]	val's auc: 0.994312
[1340]	val's auc: 0.994332
[1341]	val's auc: 0.994338
[1342]	val's auc: 0.994349
[1343]	val's auc: 0.994366
[1344]	val's auc: 0.994389
[1345]	val's auc: 0.994412
[1346]	val's auc: 0.994423
[1347]	val's auc: 0.994437
[1348]	val's auc: 0.994447
[1349]	val's auc: 0.994469
[1350]	val's auc: 0.994479
[1351]	val's auc: 0.994486
[1352]	val's auc: 0.994497
[1353]	val's auc: 0.994504
[1354]	val's auc: 0.994523
[1355]	val's auc: 0.994528
[1356]	val's auc: 0.994539
[1357]	val's auc: 0.994553
[1358]	val's auc: 0.994561
[1359]	val's auc: 0.994572
[1360]	val's auc: 0.994592
[1361]	val's auc: 0.994605
[1362]	val's auc: 0.994613
[1363]	val's auc: 0.994627
[1364]	val's auc: 0.99464
[1365]	val's auc: 0.994649
[1366]	val's auc: 0.994656
[1367]	val's auc: 0.99466
[1368]	val's auc: 0.994664
[1369]	val's auc: 0.994677
[1370]	val's auc: 0.99469
[1371]	val's auc: 0.9947
[1372]	val's auc: 0.994711
[1373]	val's auc: 0.994728
[1374]	val's auc: 0.994737
[1375]	val's auc: 0.994758
[1376]	val's auc: 0.994761
[1377]	val's auc: 0.994779
[1378]	val's auc: 0.994787
[1379]	val's auc: 0.994798
[1380]	val's auc: 0.994808
[1381]	val's auc: 0.994824
[1382]	val's auc: 0.994829
[1383]	val's auc: 0.994846
[1384]	val's auc: 0.994855
[1385]	val's auc: 0.994861
[1386]	val's auc: 0.99487
[1387]	val's auc: 0.994886
[1388]	val's auc: 0.99489
[1389]	val's auc: 0.994897
[1390]	val's auc: 0.994909
[1391]	val's auc: 0.994924
[1392]	val's auc: 0.994935
[1393]	val's auc: 0.994951
[1394]	val's auc: 0.994958
[1395]	val's auc: 0.994977
[1396]	val's auc: 0.994986
[1397]	val's auc: 0.995003
[1398]	val's auc: 0.995018
[1399]	val's auc: 0.995028
[1400]	val's auc: 0.995039
[1401]	val's auc: 0.995052
[1402]	val's auc: 0.995069
[1403]	val's auc: 0.995085
[1404]	val's auc: 0.995098
[1405]	val's auc: 0.995116
[1406]	val's auc: 0.995135
[1407]	val's auc: 0.995149
[1408]	val's auc: 0.995161
[1409]	val's auc: 0.995164
[1410]	val's auc: 0.995172
[1411]	val's auc: 0.995184
[1412]	val's auc: 0.995205
[1413]	val's auc: 0.995217
[1414]	val's auc: 0.995227
[1415]	val's auc: 0.995233
[1416]	val's auc: 0.995243
[1417]	val's auc: 0.995258
[1418]	val's auc: 0.995267
[1419]	val's auc: 0.995278
[1420]	val's auc: 0.995291
[1421]	val's auc: 0.995299
[1422]	val's auc: 0.995312
[1423]	val's auc: 0.995328
[1424]	val's auc: 0.995335
[1425]	val's auc: 0.99534
[1426]	val's auc: 0.995355
[1427]	val's auc: 0.995374
[1428]	val's auc: 0.995385
[1429]	val's auc: 0.995389
[1430]	val's auc: 0.9954
[1431]	val's auc: 0.995414
[1432]	val's auc: 0.995422
[1433]	val's auc: 0.995432
[1434]	val's auc: 0.995434
[1435]	val's auc: 0.99544
[1436]	val's auc: 0.995443
[1437]	val's auc: 0.995459
[1438]	val's auc: 0.995469
[1439]	val's auc: 0.99548
[1440]	val's auc: 0.995492
[1441]	val's auc: 0.995499
[1442]	val's auc: 0.995505
[1443]	val's auc: 0.995512
[1444]	val's auc: 0.995521
[1445]	val's auc: 0.995527
[1446]	val's auc: 0.995541
[1447]	val's auc: 0.995547
[1448]	val's auc: 0.995549
[1449]	val's auc: 0.995559
[1450]	val's auc: 0.995569
[1451]	val's auc: 0.995584
[1452]	val's auc: 0.995589
[1453]	val's auc: 0.995592
[1454]	val's auc: 0.995596
[1455]	val's auc: 0.995605
[1456]	val's auc: 0.995609
[1457]	val's auc: 0.995615
[1458]	val's auc: 0.995621
[1459]	val's auc: 0.995632
[1460]	val's auc: 0.995645
[1461]	val's auc: 0.995658
[1462]	val's auc: 0.995672
[1463]	val's auc: 0.995681
[1464]	val's auc: 0.995693
[1465]	val's auc: 0.9957
[1466]	val's auc: 0.995713
[1467]	val's auc: 0.99572
[1468]	val's auc: 0.995736
[1469]	val's auc: 0.995745
[1470]	val's auc: 0.995755
[1471]	val's auc: 0.995765
[1472]	val's auc: 0.995771
[1473]	val's auc: 0.995778
[1474]	val's auc: 0.995789
[1475]	val's auc: 0.9958
[1476]	val's auc: 0.995809
[1477]	val's auc: 0.995815
[1478]	val's auc: 0.99583
[1479]	val's auc: 0.995837
[1480]	val's auc: 0.995854
[1481]	val's auc: 0.995861
[1482]	val's auc: 0.995871
[1483]	val's auc: 0.995878
[1484]	val's auc: 0.99589
[1485]	val's auc: 0.995897
[1486]	val's auc: 0.995908
[1487]	val's auc: 0.99592
[1488]	val's auc: 0.995925
[1489]	val's auc: 0.995939
[1490]	val's auc: 0.995955
[1491]	val's auc: 0.995965
[1492]	val's auc: 0.995973
[1493]	val's auc: 0.995982
[1494]	val's auc: 0.995995
[1495]	val's auc: 0.996001
[1496]	val's auc: 0.996013
[1497]	val's auc: 0.996019
[1498]	val's auc: 0.996026
[1499]	val's auc: 0.996035
[1500]	val's auc: 0.996049
[1501]	val's auc: 0.996054
[1502]	val's auc: 0.996065
[1503]	val's auc: 0.996072
[1504]	val's auc: 0.996076
[1505]	val's auc: 0.996087
[1506]	val's auc: 0.996095
[1507]	val's auc: 0.996097
[1508]	val's auc: 0.996113
[1509]	val's auc: 0.996121
[1510]	val's auc: 0.996126
[1511]	val's auc: 0.996139
[1512]	val's auc: 0.996149
[1513]	val's auc: 0.996156
[1514]	val's auc: 0.996158
[1515]	val's auc: 0.996166
[1516]	val's auc: 0.996171
[1517]	val's auc: 0.99618
[1518]	val's auc: 0.996188
[1519]	val's auc: 0.9962
[1520]	val's auc: 0.996206
[1521]	val's auc: 0.996214
[1522]	val's auc: 0.996223
[1523]	val's auc: 0.996227
[1524]	val's auc: 0.996234
[1525]	val's auc: 0.996238
[1526]	val's auc: 0.996248
[1527]	val's auc: 0.996255
[1528]	val's auc: 0.996268
[1529]	val's auc: 0.996278
[1530]	val's auc: 0.99629
[1531]	val's auc: 0.996295
[1532]	val's auc: 0.996305
[1533]	val's auc: 0.996311
[1534]	val's auc: 0.996317
[1535]	val's auc: 0.996319
[1536]	val's auc: 0.996324
[1537]	val's auc: 0.996336
[1538]	val's auc: 0.996339
[1539]	val's auc: 0.996351
[1540]	val's auc: 0.996357
[1541]	val's auc: 0.996361
[1542]	val's auc: 0.996374
[1543]	val's auc: 0.996388
[1544]	val's auc: 0.996393
[1545]	val's auc: 0.996395
[1546]	val's auc: 0.996399
[1547]	val's auc: 0.996403
[1548]	val's auc: 0.996412
[1549]	val's auc: 0.996416
[1550]	val's auc: 0.996424
[1551]	val's auc: 0.99643
[1552]	val's auc: 0.996438
[1553]	val's auc: 0.996447
[1554]	val's auc: 0.996453
[1555]	val's auc: 0.996461
[1556]	val's auc: 0.996463
[1557]	val's auc: 0.99648
[1558]	val's auc: 0.996491
[1559]	val's auc: 0.996498
[1560]	val's auc: 0.99651
[1561]	val's auc: 0.996515
[1562]	val's auc: 0.996524
[1563]	val's auc: 0.996537
[1564]	val's auc: 0.996548
[1565]	val's auc: 0.996557
[1566]	val's auc: 0.99656
[1567]	val's auc: 0.996569
[1568]	val's auc: 0.996572
[1569]	val's auc: 0.99658
[1570]	val's auc: 0.996588
[1571]	val's auc: 0.996591
[1572]	val's auc: 0.9966
[1573]	val's auc: 0.996605
[1574]	val's auc: 0.996613
[1575]	val's auc: 0.996622
[1576]	val's auc: 0.996626
[1577]	val's auc: 0.996627
[1578]	val's auc: 0.996635
[1579]	val's auc: 0.996645
[1580]	val's auc: 0.996653
[1581]	val's auc: 0.996662
[1582]	val's auc: 0.996671
[1583]	val's auc: 0.996677
[1584]	val's auc: 0.996683
[1585]	val's auc: 0.996691
[1586]	val's auc: 0.996703
[1587]	val's auc: 0.996713
[1588]	val's auc: 0.99672
[1589]	val's auc: 0.996729
[1590]	val's auc: 0.996732
[1591]	val's auc: 0.996739
[1592]	val's auc: 0.996745
[1593]	val's auc: 0.996747
[1594]	val's auc: 0.996761
[1595]	val's auc: 0.996771
[1596]	val's auc: 0.996784
[1597]	val's auc: 0.996788
[1598]	val's auc: 0.996796
[1599]	val's auc: 0.996801
[1600]	val's auc: 0.996806
[1601]	val's auc: 0.996816
[1602]	val's auc: 0.99682
[1603]	val's auc: 0.996829
[1604]	val's auc: 0.99683
[1605]	val's auc: 0.996838
[1606]	val's auc: 0.996844
[1607]	val's auc: 0.996848
[1608]	val's auc: 0.996858
[1609]	val's auc: 0.996867
[1610]	val's auc: 0.996878
[1611]	val's auc: 0.99688
[1612]	val's auc: 0.996888
[1613]	val's auc: 0.9969
[1614]	val's auc: 0.996904
[1615]	val's auc: 0.996919
[1616]	val's auc: 0.996923
[1617]	val's auc: 0.996933
[1618]	val's auc: 0.996942
[1619]	val's auc: 0.996951
[1620]	val's auc: 0.99696
[1621]	val's auc: 0.996966
[1622]	val's auc: 0.996974
[1623]	val's auc: 0.996983
[1624]	val's auc: 0.996989
[1625]	val's auc: 0.997
[1626]	val's auc: 0.997005
[1627]	val's auc: 0.997012
[1628]	val's auc: 0.997016
[1629]	val's auc: 0.997026
[1630]	val's auc: 0.997032
[1631]	val's auc: 0.99704
[1632]	val's auc: 0.997045
[1633]	val's auc: 0.997056
[1634]	val's auc: 0.997068
[1635]	val's auc: 0.997075
[1636]	val's auc: 0.997077
[1637]	val's auc: 0.997082
[1638]	val's auc: 0.997091
[1639]	val's auc: 0.997096
[1640]	val's auc: 0.997106
[1641]	val's auc: 0.997113
[1642]	val's auc: 0.997118
[1643]	val's auc: 0.99712
[1644]	val's auc: 0.997125
[1645]	val's auc: 0.997135
[1646]	val's auc: 0.997138
[1647]	val's auc: 0.997141
[1648]	val's auc: 0.997151
[1649]	val's auc: 0.99716
[1650]	val's auc: 0.997163
[1651]	val's auc: 0.997175
[1652]	val's auc: 0.997181
[1653]	val's auc: 0.997188
[1654]	val's auc: 0.9972
[1655]	val's auc: 0.997202
[1656]	val's auc: 0.997203
[1657]	val's auc: 0.997217
[1658]	val's auc: 0.997218
[1659]	val's auc: 0.997225
[1660]	val's auc: 0.997227
[1661]	val's auc: 0.997231
[1662]	val's auc: 0.997235
[1663]	val's auc: 0.997242
[1664]	val's auc: 0.997247
[1665]	val's auc: 0.997251
[1666]	val's auc: 0.997256
[1667]	val's auc: 0.997259
[1668]	val's auc: 0.997269
[1669]	val's auc: 0.997273
[1670]	val's auc: 0.997284
[1671]	val's auc: 0.997292
[1672]	val's auc: 0.997302
[1673]	val's auc: 0.997309
[1674]	val's auc: 0.997322
[1675]	val's auc: 0.997332
[1676]	val's auc: 0.997341
[1677]	val's auc: 0.997351
[1678]	val's auc: 0.99736
[1679]	val's auc: 0.99737
[1680]	val's auc: 0.997374
[1681]	val's auc: 0.997381
[1682]	val's auc: 0.997388
[1683]	val's auc: 0.997393
[1684]	val's auc: 0.997396
[1685]	val's auc: 0.997405
[1686]	val's auc: 0.997414
[1687]	val's auc: 0.997423
[1688]	val's auc: 0.997433
[1689]	val's auc: 0.997439
[1690]	val's auc: 0.997447
[1691]	val's auc: 0.997454
[1692]	val's auc: 0.997459
[1693]	val's auc: 0.997464
[1694]	val's auc: 0.997469
[1695]	val's auc: 0.997472
[1696]	val's auc: 0.997473
[1697]	val's auc: 0.997479
[1698]	val's auc: 0.997482
[1699]	val's auc: 0.997487
[1700]	val's auc: 0.997495
[1701]	val's auc: 0.997501
[1702]	val's auc: 0.997506
[1703]	val's auc: 0.997519
[1704]	val's auc: 0.997526
[1705]	val's auc: 0.997528
[1706]	val's auc: 0.997533
[1707]	val's auc: 0.997538
[1708]	val's auc: 0.997541
[1709]	val's auc: 0.997546
[1710]	val's auc: 0.997549
[1711]	val's auc: 0.997555
[1712]	val's auc: 0.997557
[1713]	val's auc: 0.997563
[1714]	val's auc: 0.997571
[1715]	val's auc: 0.997573
[1716]	val's auc: 0.997573
[1717]	val's auc: 0.997582
[1718]	val's auc: 0.997589
