/opt/conda/lib/python3.7/site-packages/lightgbm/engine.py:151: UserWarning: Found `n_estimators` in params. Will use it instead of argument
  warnings.warn("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Info] Number of positive: 19698, number of negative: 71411
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.036258 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 26083
[LightGBM] [Info] Number of data points in the train set: 91109, number of used features: 178
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1286: UserWarning: Overriding the parameters from Reference Dataset.
  warnings.warn('Overriding the parameters from Reference Dataset.')
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1098: UserWarning: categorical_column in param dict is overridden.
  warnings.warn('{} in param dict is overridden.'.format(cat_alias))
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216203 -> initscore=-1.287935
[LightGBM] [Info] Start training from score -1.287935
[226]	auc's auc: 0.862648
[227]	auc's auc: 0.862673
[228]	auc's auc: 0.862701
[229]	auc's auc: 0.862701
[230]	auc's auc: 0.862718
[231]	auc's auc: 0.862755
[232]	auc's auc: 0.862766
[233]	auc's auc: 0.862737
[234]	auc's auc: 0.862735
[235]	auc's auc: 0.862755
[236]	auc's auc: 0.862745
[237]	auc's auc: 0.862744
[238]	auc's auc: 0.862789
[239]	auc's auc: 0.862796
[240]	auc's auc: 0.862793
[241]	auc's auc: 0.862797
[242]	auc's auc: 0.862811
[243]	auc's auc: 0.862816
[244]	auc's auc: 0.86278
[245]	auc's auc: 0.862755
[246]	auc's auc: 0.862762
[247]	auc's auc: 0.862754
[248]	auc's auc: 0.862756
[249]	auc's auc: 0.862774
[250]	auc's auc: 0.8628
[251]	auc's auc: 0.862813
[252]	auc's auc: 0.862795
[253]	auc's auc: 0.86278
[254]	auc's auc: 0.862797
[255]	auc's auc: 0.8628
[256]	auc's auc: 0.86281
[257]	auc's auc: 0.862844
[258]	auc's auc: 0.862892
[259]	auc's auc: 0.862912
[260]	auc's auc: 0.862916
[261]	auc's auc: 0.862887
[262]	auc's auc: 0.862871
[263]	auc's auc: 0.862939
[264]	auc's auc: 0.862925
[265]	auc's auc: 0.862933
[266]	auc's auc: 0.862958
[267]	auc's auc: 0.862954
[268]	auc's auc: 0.862944
[269]	auc's auc: 0.862951
[270]	auc's auc: 0.86298
[271]	auc's auc: 0.863046
[272]	auc's auc: 0.863082
[273]	auc's auc: 0.863097
[274]	auc's auc: 0.863144
[275]	auc's auc: 0.863132
[276]	auc's auc: 0.863169
[277]	auc's auc: 0.863185
[278]	auc's auc: 0.86319
[279]	auc's auc: 0.863198
[280]	auc's auc: 0.863176
[281]	auc's auc: 0.8632
[282]	auc's auc: 0.863189
[283]	auc's auc: 0.863208
[284]	auc's auc: 0.863217
[285]	auc's auc: 0.863226
[286]	auc's auc: 0.863213
[287]	auc's auc: 0.863203
[288]	auc's auc: 0.863226
[289]	auc's auc: 0.863191
[290]	auc's auc: 0.863197
